user,item,rating
user001,Cơm Gà Hải Nam - Hậu Giang,5.0
user002,"Thiên Ân Quán - Cơm, Bún Riêu & Bún Mắm",7.0
user003,Trà Sữa Wozzi,2.6
user004,Gà Nướng Anh Tư,7.6
user005,Nhà Bún Đậu - Bún Đậu Mắm Tôm Hà Nội - Song Hành,10.0
user006,Phá Lấu Rubi - Nguyễn Hồng Đào,2.8
user007,Quán Thảo Hiền - Đặc Sản Miền Trung,7.0
user008,Texas Chicken - Nguyễn Thái Học,4.4
user009,Phi Phi Quán - Cơm Gà Xối Mỡ,8.6
user010,Nhà Bún Đậu - Bún Đậu Mắm Tôm Hà Nội - Song Hành,9.0
user011,Cơm Tấm Tú Mập - Đồng Đen,8.8
user012,Súp Cua Nhà Thờ Đức Bà,6.6
user013,Gà Rán Popeyes - Tùng Thiện Vương,7.6
user013,Gà Rán Popeyes - Điện Biên Phủ,7.6
user013,Phở 24 - Nguyễn Tri Phương,7.6
user013,Pizza Hut - Hậu Giang,7.6
user014,Pad Thái Tôm - Món Thái Ngon - Shop Online,9.4
user015,Fruit Crush - Trái Cây Tươi & Ăn Vặt - Quận 1,10.0
user016,Trà Sữa Tiên Hưởng Gotcha - Huỳnh Mẫn Đạt,8.9
user017,Chị Hà - Bánh Tráng Trộn & Bánh Mì Nướng Muối Ớt,5.0
user018,TOUS les JOURS - Nguyễn Thị Minh Khai,3.8
user019,Trà Sữa Tiên Hưởng Gotcha - Huỳnh Mẫn Đạt,9.4
user020,Gà Rán KFC - Central Plaza,7.6
user021,KOI Thé - Phan Xích Long,8.2
user022,Chè HongKong - 港式糖水 - Phan Phú Tiên,5.0
user022,Phở 24 - Nguyễn Tri Phương,9.8
user022,Xôi Gà Bà Chiểu,4.4
user023,Bonchon Chicken - Aeon Tân Phú,5.8
user024,Huyền - Bún Nước & Mì Cay Muối Ớt,1.0
user025,Kebaby - Doner Kebab,10.0
user026,Gong Cha - Trà & Cà Phê - Hồ Tùng Mậu,6.4
user026,KOI Thé - Phan Xích Long,6.866666666666667
user026,Phá Lấu Rubi - Nguyễn Hồng Đào,7.6
user026,Phúc Long Lê Văn Sỹ,6.0
user026,"Thiên Ân Quán - Cơm, Bún Riêu & Bún Mắm",7.6
user026,Tiệm Cô Béo Bún Thái Lan,7.8
user027,Trà Sữa Tiên Hưởng Cotcha - Tản Đà,1.8
user028,Gà Nướng Lu Việt Hương - Lê Quang Định,6.8
user029,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ,2.0
user029,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - 2 Miếng Gà Xốt Mắm Tỏi,2.0
user029,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO 2 NGƯỜI 124K,2.0
user029,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO ĐẬM VỊ,2.0
user029,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO ĐẬM ĐÀ,2.0
user029,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Gà Mắm Tỏi,2.0
user029,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Gà Viên Nanban,2.0
user029,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Phi-lê Gà Quay,2.0
user029,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Trưa Burger Tôm,2.0
user029,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Trưa Mì Ý,2.0
user030,Cá Viên Chiên 176 - Trần Thiện Chánh,8.0
user031,Hanuri - Quán Ăn Hàn Quốc - Nguyễn Đình Chiểu,4.2
user032,SOI THÁI - Cống Quỳnh,3.8
user033,"Cơm Gà, Cháo, Miến Gỏi Gà Ta Tường Vy - Lữ Gia",2.6
user034,Fruit Crush - Trái Cây Tươi & Ăn Vặt - Quận 1,6.6
user035,Gà Rán Popeyes - Tùng Thiện Vương,1.0
user036,Cháo Sườn Bé Hiền - Súp Cua & Bún Bò,9.6
user037,Bún Riêu & Canh Bún - Phan Đình Phùng,7.6
user038,Fruit Crush - Trái Cây Tươi & Ăn Vặt - Quận 1,9.4
user039,Trà Sữa Tiên Hưởng Cotcha - Tản Đà,9.2
user040,"Quán 567 - Sinh Tố, Nước Ép, Giải Khát",9.0
user041,Nem Nướng Nha Trang Bé Thảo,10.0
user042,A Tùng - Bánh Mì Bò Nướng Bơ Cambodia - Lê Hồng Phong,8.0
user043,Quán Thúy 94 - Miến Cua,7.4
user044,Chị Mai - Bánh Tráng Trộn & Nước Cam,9.8
user045,Fruit Crush - Trái Cây Tươi & Ăn Vặt - Quận 1,9.4
user046,Quán Chà Bá - Mực Chiên & Bò Viên - Mai Xuân Thưởng,5.0
user047,Jeju Quán - Món Ăn Hàn Quốc,5.0
user048,Nhà Bún Đậu - Bún Đậu Mắm Tôm Hà Nội - Song Hành,9.4
user049,Cơm Gà Xối Mỡ Su Su,3.0
user050,Cheese Coffee - Hồng Bàng,8.2
user051,Nhà Bún Đậu - Bún Đậu Mắm Tôm Hà Nội - Song Hành,4.2
user052,Phở 24 - Nguyễn Tri Phương,7.6
user053,Cơm Tấm Kiều Giang - Trần Quang Khải,9.5
user054,Texas Chicken - Nguyễn Thái Học,9.0
user055,The Pizza Company - Đường D2,3.4
user056,Gong Cha - Trà & Cà Phê - Hồ Tùng Mậu,7.6
user057,The Pizza Company - Đường D2,8.8
user058,Ốc Tô - Xóm Chiếu,7.2
user059,Gà Nướng Lu Việt Hương - Lê Quang Định,5.2
user060,Tiệm Cô Béo Bún Thái Lan,8.4
user061,Pad Thái Tôm - Món Thái Ngon - Shop Online,9.0
user062,KOI Thé - Phan Xích Long,8.0
user063,Tini Tea - Đường Số 42,7.6
user064,Tini Tea - Đường Số 42,8.4
user065,Chè Hà Ký - Châu Văn Liêm,8.0
user066,Quán Thúy 94 - Miến Cua,5.2
user067,Tiệm Cô Béo Bún Thái Lan,8.2
user068,Gà Rán Popeyes - Tùng Thiện Vương,10.0
user069,Quán 79 Nem Nướng,6.4
user070,Cơm Gà Xối Mỡ Su Su,7.2
user071,Buzza Pizza - Nowzone,8.6
user072,Jeju Quán - Món Ăn Hàn Quốc,8.2
user073,The Pizza Company - Đường D2,6.6
user074,Cô Thúy - Hột Vịt Lộn,9.4
user075,Trà Sữa Panda Milktea,5.6
user076,Tiệm Cô Béo Bún Thái Lan,6.2
user077,Huyền - Bún Nước & Mì Cay Muối Ớt,3.0
user078,Phúc Long Lê Văn Sỹ,3.4
user079,Gà Rán Popeyes - Điện Biên Phủ,7.4
user080,Moon Fast Food - Món Hàn - Trường Chinh,3.4
user081,SOI THÁI - Cống Quỳnh,10.0
user082,Pad Thái Tôm - Món Thái Ngon - Shop Online,9.2
user083,Cháo Sườn Bé Hiền - Súp Cua & Bún Bò,6.0
user084,Domino’s Pizza - Hòa Bình,10.0
user085,Nem Nướng Nha Trang Bé Thảo,8.4
user086,Bún Thịt Nướng Anh Ba,4.2
user087,Tiệm Cô Béo Bún Thái Lan,9.4
user088,SOI THÁI - Cống Quỳnh,7.2
user089,Phi Phi Quán - Cơm Gà Xối Mỡ,9.0
user090,"Quán 567 - Sinh Tố, Nước Ép, Giải Khát",1.0
user091,Hải Sản Vietcrab - Tân Kỳ Tân Quý,1.0
user092,Súp Cua & Gỏi Cuốn Bà Ngoại - Lý Thái Tổ,1.0
user093,Starbucks Coffee - Etown 5,3.4
user094,Gà Rán & Burger Lotteria - HTV,3.0
user095,Moon Fast Food - Món Hàn - Trường Chinh,1.6
user096,Cơm Gà Xối Mỡ Su Su,6.0
user097,Bánh Cuốn Ba Miền - Trường Chinh,6.4
user098,Tuấn Cò - Cơm Gà Xối Mỡ,6.0
user099,Phúc Long Lê Văn Sỹ,7.2
user100,Domino’s Pizza - Hòa Bình,10.0
user101,Cô Thủy - Quán Ăn Vặt - Lê Thúc Hoạch,4.4
user102,"Quán 567 - Sinh Tố, Nước Ép, Giải Khát",1.0
user103,Tiệm Cô Béo Bún Thái Lan,1.0
user104,A Tùng - Bánh Mì Bò Nướng Bơ Cambodia - Lê Hồng Phong,7.2
user105,Gà Rán KFC - Central Plaza,7.2
user106,Pad Thái Tôm - Món Thái Ngon - Shop Online,8.8
user107,Xôi Gà Bà Chiểu,10.0
user108,Kebab Sài Gòn - Nguyễn Thượng Hiền,6.0
user109,Bún Riêu & Canh Bún - Phan Đình Phùng,7.300000000000001
user109,Gà Rán Popeyes - Điện Biên Phủ,5.4
user110,Tiệm Cô Béo Bún Thái Lan,7.2
user111,Tiệm Bánh Mỹ Phụng,7.0
user112,KOI Thé - Phan Xích Long,3.4
user113,Tuấn Cò - Cơm Gà Xối Mỡ,10.0
user114,Fruit Crush - Trái Cây Tươi & Ăn Vặt - Quận 1,8.4
user115,Papaxốt - Quang Trung,2.6
user116,Jeju Quán - Món Ăn Hàn Quốc,9.0
user117,Cơm Tấm Kiều Giang - Trần Quang Khải,1.0
user118,Cơm Gà Hải Nam - Hậu Giang,5.0
user119,Chị Hà - Bánh Tráng Trộn & Bánh Mì Nướng Muối Ớt,9.5
user120,Gà Nướng Lu Việt Hương - Lê Quang Định,3.4
user121,Quán Chà Bá - Mực Chiên & Bò Viên - Mai Xuân Thưởng,10.0
user122,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ,4.2
user122,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - 2 Miếng Gà Xốt Mắm Tỏi,4.2
user122,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO 2 NGƯỜI 124K,4.2
user122,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO ĐẬM VỊ,4.2
user122,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO ĐẬM ĐÀ,4.2
user122,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Gà Mắm Tỏi,4.2
user122,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Gà Viên Nanban,4.2
user122,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Phi-lê Gà Quay,4.2
user122,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Trưa Burger Tôm,4.2
user122,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Trưa Mì Ý,4.2
user123,"Thiên Ân Quán - Cơm, Bún Riêu & Bún Mắm",10.0
user124,Gà Rán KFC - Central Plaza,10.0
user125,SteakZone,10.0
user125,Tuấn Cò - Cơm Gà Xối Mỡ,10.0
user126,Gỏi Khô Bò - Công Viên Lê Văn Tám,5.0
user127,"Quán 567 - Sinh Tố, Nước Ép, Giải Khát",4.2
user128,Cháo Sườn Bé Hiền - Súp Cua & Bún Bò,10.0
user129,Trà Sữa Panda Milktea,9.0
user130,Pizza Hut - Hậu Giang,1.0
user131,Bánh Cam 123A - Bánh Cam & Bánh Xếp - Trần Hữu Trang,8.8
user132,SteakZone,10.0
user133,Jeju Quán - Món Ăn Hàn Quốc,8.0
user134,"Quán 567 - Sinh Tố, Nước Ép, Giải Khát",2.6
user135,Gà Rán & Burger McDonald’s Vincom Masteri,4.6
user136,KOI Thé - Võ Văn Ngân,1.0
user137,SteakZone,10.0
user138,Chị Mai - Bánh Tráng Trộn & Nước Cam,10.0
user139,Chị Hà - Bánh Tráng Trộn & Bánh Mì Nướng Muối Ớt,10.0
user140,Bún Thịt Nướng Anh Ba,2.8
user141,Gà Rán Popeyes - Tùng Thiện Vương,2.6
user142,Quán Chà Bá - Mực Chiên & Bò Viên - Mai Xuân Thưởng,5.0
user143,Nem Nướng Nha Trang Bé Thảo,3.8
user144,Chè Thái Út Lyly,9.85
user145,Cơm Tấm Kiều Giang - Trần Quang Khải,3.4
user146,Jeju Quán - Món Ăn Hàn Quốc,9.8
user147,Điểm Tâm 288 - Bún Thịt Xào & Cháo Bắc Thảo,1.6
user148,Gà Rán Popeyes - Điện Biên Phủ,4.2
user149,"Quán 567 - Sinh Tố, Nước Ép, Giải Khát",3.8
user150,SteakZone,5.0
user151,Cơm Gà Hải Nam - Hậu Giang,5.8
user151,Gỏi Khô Bò - Công Viên Lê Văn Tám,5.0
user152,Gà rán và Mì Ý - Jollibee - Pasteur,4.6
user153,Bún Thịt Nướng Anh Ba,3.4
user154,Moon Fast Food - Món Hàn - Trường Chinh,1.0
user155,Điểm Tâm 288 - Bún Thịt Xào & Cháo Bắc Thảo,7.8
user156,Pizza Hut - Hậu Giang,7.0
user157,Gà Rán & Burger Lotteria - HTV,7.4
user158,Tiệm Cô Béo Bún Thái Lan,5.4
user159,Trà Sữa Tiên Hưởng Cotcha - Tản Đà,10.0
user160,Cơm Gà Xối Mỡ Su Su,9.4
user161,Xôi Gà Bà Chiểu,1.0
user162,Nhà Bún Đậu - Bún Đậu Mắm Tôm Hà Nội - Song Hành,9.4
user163,Gà rán và Mì Ý - Jollibee - Pasteur,1.0
user164,Gà Rán Popeyes - Tùng Thiện Vương,4.4
user165,Gà Rán & Burger Lotteria - HTV,10.0
user166,Kebaby - Doner Kebab,10.0
user167,Chè Hà Ký - Châu Văn Liêm,2.6
user168,Bún Riêu & Canh Bún - Phan Đình Phùng,7.6
user169,Chè Hà Ký - Châu Văn Liêm,7.0
user170,Phở 24 - Nguyễn Tri Phương,5.8
user171,SteakZone,10.0
user172,Chị Hà - Bánh Tráng Trộn & Bánh Mì Nướng Muối Ớt,2.8
user173,Hanuri - Quán Ăn Hàn Quốc - Nguyễn Đình Chiểu,8.4
user174,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ,8.2
user174,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - 2 Miếng Gà Xốt Mắm Tỏi,8.2
user174,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO 2 NGƯỜI 124K,8.2
user174,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO ĐẬM VỊ,8.2
user174,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO ĐẬM ĐÀ,8.2
user174,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Gà Mắm Tỏi,8.2
user174,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Gà Viên Nanban,8.2
user174,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Phi-lê Gà Quay,8.2
user174,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Trưa Burger Tôm,8.2
user174,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Trưa Mì Ý,8.2
user175,Papas' Chicken - Gà Rán Hàn Quốc - Hoàng Văn Thụ,3.4
user176,Cơm Tấm Cô Hoa - Ngô Quyền,7.8
user177,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - 2 Miếng Gà Xốt Mắm Tỏi,6.6
user177,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO 2 NGƯỜI 124K,6.6
user177,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO ĐẬM VỊ,6.6
user177,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO ĐẬM ĐÀ,6.6
user177,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Gà Mắm Tỏi,6.6
user177,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Gà Viên Nanban,6.6
user177,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Phi-lê Gà Quay,6.6
user177,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Trưa Burger Tôm,6.6
user177,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Trưa Mì Ý,6.6
user178,Tuấn Cò - Cơm Gà Xối Mỡ,10.0
user179,Quán Thúy 94 - Miến Cua,4.6
user180,KOI Thé - Phan Xích Long,2.6
user181,Chè Thái Út Lyly,6.4
user182,Tuấn Cò - Cơm Gà Xối Mỡ,5.0
user183,KOI Thé - Võ Văn Ngân,6.4
user184,Texas Chicken - Nguyễn Thái Học,8.4
user185,Trà Sữa Tiên Hưởng Cotcha - Tản Đà,5.0
user186,Nhà Bún Đậu - Bún Đậu Mắm Tôm Hà Nội - Song Hành,9.8
user187,Quán Chà Bá - Mực Chiên & Bò Viên - Mai Xuân Thưởng,5.0
user188,Hanuri - Quán Ăn Hàn Quốc - Nguyễn Đình Chiểu,3.2
user189,Domino’s Pizza - Hòa Bình,8.0
user190,Quán Thúy 94 - Miến Cua,1.0
user191,Phi Phi Quán - Cơm Gà Xối Mỡ,9.0
user192,Phi Phi Quán - Cơm Gà Xối Mỡ,8.4
user192,TOUS les JOURS - Nguyễn Thị Minh Khai,9.2
user193,Bánh Cuốn Ba Miền - Trường Chinh,7.6
user193,Cá Viên Chiên 176 - Trần Thiện Chánh,7.6
user193,Mì Trộn Tên Lửa - 462 Trần Hưng Đạo,7.6
user194,The Pizza Company - Đường D2,6.0
user195,Quán 79 Nem Nướng,1.2
user196,Tiệm Bánh Mỹ Phụng,3.4
user197,KOI Thé - Võ Văn Ngân,1.0
user198,Fruit Crush - Trái Cây Tươi & Ăn Vặt - Quận 1,9.6
user198,Trà Sữa Wozzi,4.0
user199,"Thiên Ân Quán - Cơm, Bún Riêu & Bún Mắm",3.6
user200,TOUS les JOURS - Nguyễn Thị Minh Khai,10.0
user201,Cơm Tấm Cô Hoa - Ngô Quyền,1.0
user202,Gà Rán KFC - Central Plaza,4.2
user203,Chị Mai - Bánh Tráng Trộn & Nước Cam,9.6
user204,Súp Cua Nhà Thờ Đức Bà,6.8
user205,Mì Trộn Tên Lửa - 462 Trần Hưng Đạo,5.0
user206,Quán Nem - Nem Cua Biển & Bún Chả - Nguyễn Thị Minh Khai,10.0
user207,Gà Rán & Burger McDonald’s Vincom Masteri,4.4
user208,Quán Nem - Nem Cua Biển & Bún Chả - Nguyễn Thị Minh Khai,4.2
user209,SOI THÁI - Cống Quỳnh,4.8
user210,Cơm Tấm Cô Hoa - Ngô Quyền,6.4
user211,Cơm Tấm Kiều Giang - Trần Quang Khải,7.8
user212,Kebaby - Doner Kebab,9.8
user213,Cơm Tấm Tú Mập - Đồng Đen,4.0
user213,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - 2 Miếng Gà Xốt Mắm Tỏi,6.0
user213,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO 2 NGƯỜI 124K,6.0
user213,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO ĐẬM VỊ,6.0
user213,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO ĐẬM ĐÀ,6.0
user213,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Gà Mắm Tỏi,6.0
user213,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Gà Viên Nanban,6.0
user213,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Phi-lê Gà Quay,6.0
user213,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Trưa Burger Tôm,6.0
user213,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Trưa Mì Ý,6.0
user214,SteakZone,10.0
user215,The Pizza Company - Đường D2,9.2
user216,Kebaby - Doner Kebab,10.0
user217,Phở 24 - Nguyễn Tri Phương,7.6
user218,Gà Nướng Anh Tư,8.0
user219,Chè HongKong - 港式糖水 - Phan Phú Tiên,5.0
user219,Chè Thái Út Lyly,5.0
user219,SteakZone,5.0
user220,The Pizza Company - Đường D2,1.0
user221,Chị Mai - Bánh Tráng Trộn & Nước Cam,9.4
user222,Kebab Sài Gòn - Nguyễn Thượng Hiền,4.6
user223,Ốc Tô - Xóm Chiếu,5.6
user224,Cheese Coffee - Hồng Bàng,4.6
user225,Bún Riêu & Canh Bún - Phan Đình Phùng,6.2
user226,Moon Fast Food - Món Hàn - Trường Chinh,7.6
user227,Cơm Tấm Cô Hoa - Ngô Quyền,3.6
user227,Moon Fast Food - Món Hàn - Trường Chinh,5.8
user228,A Tùng - Bánh Mì Bò Nướng Bơ Cambodia - Lê Hồng Phong,7.4
user229,Bà Hai - Bánh Xèo & Bánh Khọt,1.8
user230,Trà Sữa Tiên Hưởng Gotcha - Huỳnh Mẫn Đạt,1.0
user231,Phá Lấu Rubi - Nguyễn Hồng Đào,7.0
user232,Trà Sữa Panda Milktea,6.0
user233,Cháo Sườn Bé Hiền - Súp Cua & Bún Bò,5.4
user234,Chè Hà Ký - Châu Văn Liêm,1.0
user235,Tiệm Cô Béo Bún Thái Lan,8.4
user236,Gà Rán Popeyes - Điện Biên Phủ,10.0
user236,Kebaby - Doner Kebab,8.6
user236,"Thiên Ân Quán - Cơm, Bún Riêu & Bún Mắm",8.2
user236,Tini Tea - Đường Số 42,9.7
user237,Trà Sữa Panda Milktea,6.0
user238,KOI Thé - Võ Văn Ngân,5.0
user239,Bánh Cuốn Ba Miền - Trường Chinh,7.4
user240,Gà Rán Popeyes - Điện Biên Phủ,8.2
user241,Tuấn Cò - Cơm Gà Xối Mỡ,10.0
user242,Phi Phi Quán - Cơm Gà Xối Mỡ,9.0
user243,Gà Rán Popeyes - Điện Biên Phủ,8.0
user244,SteakZone,9.0
user245,Tiệm Bánh Mỹ Phụng,6.8
user246,Phá Lấu Rubi - Nguyễn Hồng Đào,7.0
user247,Pad Thái Tôm - Món Thái Ngon - Shop Online,10.0
user248,Kebaby - Doner Kebab,10.0
user249,Cơm Gà Xối Mỡ Su Su,2.6
user250,Cơm Gà Xối Mỡ Su Su,3.4
user250,Gà Rán Popeyes - Điện Biên Phủ,1.0
